model,country,category,sub_category,variant,T2I prompt,I2I prompt,base,edit_1,edit_2,edit_3,edit_4,edit_5
nextstep,china,architecture,house,general,"House in China, photorealistic.",Change the image to represent house in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_architecture_house_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_architecture_house_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_architecture_house_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_architecture_house_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_architecture_house_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_architecture_house_general_5.png
nextstep,china,architecture,house,modern,"Modern house in China, photorealistic.",Change the image to represent modern house in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_architecture_house_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_architecture_house_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_architecture_house_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_architecture_house_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_architecture_house_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_architecture_house_modern_5.png
nextstep,china,architecture,house,traditional,"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_architecture_house_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_architecture_house_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_architecture_house_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_architecture_house_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_architecture_house_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_architecture_house_traditional_5.png
nextstep,china,architecture,landmark,general,"Landmark in China, photorealistic.",Change the image to represent landmark in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_architecture_landmark_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_architecture_landmark_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_architecture_landmark_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_architecture_landmark_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_architecture_landmark_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_architecture_landmark_general_5.png
nextstep,china,architecture,landmark,modern,"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_architecture_landmark_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_architecture_landmark_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_architecture_landmark_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_architecture_landmark_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_architecture_landmark_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_architecture_landmark_modern_5.png
nextstep,china,architecture,landmark,traditional,"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_architecture_landmark_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_architecture_landmark_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_architecture_landmark_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_architecture_landmark_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_architecture_landmark_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_architecture_landmark_traditional_5.png
nextstep,china,art,dance,general,"Dance in China, photorealistic.",Change the image to represent dance in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_dance_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_dance_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_dance_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_dance_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_dance_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_dance_general_5.png
nextstep,china,art,dance,modern,"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_dance_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_dance_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_dance_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_dance_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_dance_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_dance_modern_5.png
nextstep,china,art,dance,traditional,"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_dance_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_dance_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_dance_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_dance_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_dance_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_dance_traditional_5.png
nextstep,china,art,painting,general,"Painting in China, photorealistic.",Change the image to represent painting in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_painting_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_painting_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_painting_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_painting_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_painting_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_painting_general_5.png
nextstep,china,art,painting,modern,"Modern painting in China, photorealistic.",Change the image to represent modern painting in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_painting_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_painting_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_painting_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_painting_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_painting_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_painting_modern_5.png
nextstep,china,art,painting,traditional,"Traditional painting in China, photorealistic.",Change the image to represent traditional painting in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_painting_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_painting_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_painting_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_painting_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_painting_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_painting_traditional_5.png
nextstep,china,art,sculpture,general,"Sculpture in China, photorealistic.",Change the image to represent sculpture in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_sculpture_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_sculpture_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_sculpture_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_sculpture_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_sculpture_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_sculpture_general_5.png
nextstep,china,art,sculpture,modern,"Modern sculpture in China, photorealistic.",Change the image to represent modern sculpture in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_sculpture_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_sculpture_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_sculpture_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_sculpture_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_sculpture_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_sculpture_modern_5.png
nextstep,china,art,sculpture,traditional,"Traditional sculpture in China, photorealistic.",Change the image to represent traditional sculpture in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_art_sculpture_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_art_sculpture_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_art_sculpture_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_art_sculpture_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_art_sculpture_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_art_sculpture_traditional_5.png
nextstep,china,event,festival,general,"Festival in China, photorealistic.",Change the image to represent festival in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_event_festival_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_event_festival_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_event_festival_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_event_festival_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_event_festival_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_event_festival_general_5.png
nextstep,china,event,festival,modern,"Modern festival in China, photorealistic.",Change the image to represent modern festival in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_event_festival_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_event_festival_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_event_festival_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_event_festival_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_event_festival_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_event_festival_modern_5.png
nextstep,china,event,festival,traditional,"Traditional festival in China, photorealistic.",Change the image to represent traditional festival in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_event_festival_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_event_festival_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_event_festival_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_event_festival_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_event_festival_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_event_festival_traditional_5.png
nextstep,china,event,funeral,general,"Funeral in China, photorealistic.",Change the image to represent funeral in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_event_funeral_general.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_event_funeral_general_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_event_funeral_general_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_event_funeral_general_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_event_funeral_general_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_event_funeral_general_5.png
nextstep,china,event,funeral,modern,"Modern funeral in China, photorealistic.",Change the image to represent modern funeral in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_event_funeral_modern.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_event_funeral_modern_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_event_funeral_modern_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_event_funeral_modern_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_event_funeral_modern_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_event_funeral_modern_5.png
nextstep,china,event,funeral,traditional,"Traditional funeral in China, photorealistic.",Change the image to represent traditional funeral in China.,https://ecb-pub.s3.amazonaws.com/nextstep/base/nextstep_china_event_funeral_traditional.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_1/nextstep_china_event_funeral_traditional_1.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_2/nextstep_china_event_funeral_traditional_2.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_3/nextstep_china_event_funeral_traditional_3.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_4/nextstep_china_event_funeral_traditional_4.png,https://ecb-pub.s3.amazonaws.com/nextstep/edit_5/nextstep_china_event_funeral_traditional_5.png
