model,country,category,sub_category,variant,T2I prompt,I2I prompt,base,edit_1,edit_2,edit_3,edit_4,edit_5
hidream,china,architecture,house,general,"House in China, photorealistic.",Change the image to represent house in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_architecture_house_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_architecture_house_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_architecture_house_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_architecture_house_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_architecture_house_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_architecture_house_general_5.png
hidream,china,architecture,house,modern,"Modern house in China, photorealistic.",Change the image to represent modern house in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_architecture_house_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_architecture_house_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_architecture_house_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_architecture_house_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_architecture_house_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_architecture_house_modern_5.png
hidream,china,architecture,house,traditional,"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_architecture_house_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_architecture_house_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_architecture_house_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_architecture_house_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_architecture_house_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_architecture_house_traditional_5.png
hidream,china,architecture,landmark,general,"Landmark in China, photorealistic.",Change the image to represent landmark in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_architecture_landmark_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_architecture_landmark_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_architecture_landmark_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_architecture_landmark_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_architecture_landmark_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_architecture_landmark_general_5.png
hidream,china,architecture,landmark,modern,"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_architecture_landmark_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_architecture_landmark_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_architecture_landmark_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_architecture_landmark_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_architecture_landmark_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_architecture_landmark_modern_5.png
hidream,china,architecture,landmark,traditional,"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_architecture_landmark_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_architecture_landmark_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_architecture_landmark_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_architecture_landmark_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_architecture_landmark_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_architecture_landmark_traditional_5.png
hidream,china,art,dance,general,"Dance in China, photorealistic.",Change the image to represent dance in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_dance_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_dance_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_dance_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_dance_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_dance_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_dance_general_5.png
hidream,china,art,dance,modern,"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_dance_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_dance_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_dance_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_dance_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_dance_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_dance_modern_5.png
hidream,china,art,dance,traditional,"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_dance_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_dance_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_dance_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_dance_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_dance_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_dance_traditional_5.png
hidream,china,art,painting,general,"Painting in China, photorealistic.",Change the image to represent painting in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_painting_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_painting_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_painting_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_painting_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_painting_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_painting_general_5.png
